base_field,concept_id,unit_concept_id
avlt_delayed,2000000015,44777566
--avlt_delayed_z_score,2000000016,44777566
avlt_immediate,2000000017,44777566
--avlt_immediate_z_score,2000000018,44777566
--category_fluency_sum_of_3,2000000033,44777566
--faq,2000000099,44777566
gds_score,2000000113,44777566
--gds_30_abnormal,2000000114,8497
mmse_total,2000000166,44777566
--priority_attention,2000000180,8497
--priority_attention_z_score,2000000181,8497
--priority_executive,2000000182,8497
--priority_executive_z_score,2000000183,8497
--priority_language,2000000184,8497
--priority_memory_delayed,2000000186,8497
--priority_memory_delayed_z_score,2000000187,8497
--priority_memory_immediate,2000000188,8497
--priority_memory_immediate_z_score,2000000189,8497
tmta,2000000210,8555
--tmt_a_z_score,2000000211,8555
tmtb,2000000212,8555
--tmt_b_z_score,2000000213,8555
